,Nama Barang,Harga,Terjual,Rating,Lokasi,Label
222,INDOMIE HYPE ABIS RASA SEBLAK HOT JELETOT 75 GR,Rp2.800,Terjual 250+,4.6,Jakarta Barat,yes
223,indomie soto banjar limau kuit,Rp2.850,Terjual 500+,4.9,Bekasi,yes
224,Indomie Soto 1 Karton,Rp119.000,Terjual 1 rb+,4.9,Tangerang,yes
225,Indomie Mi Instan Rasa Soto Lamongan,Rp2.850,Terjual 3 rb+,5,Bekasi,yes
226,1 Dus isi 24 Pcs - Indomie Goreng Spesial Jumbo,Rp100.900,Terjual 4 rb+,4.9,Tangerang Selatan,yes
227,Indomie Mie Instant Goreng Plus Special - 10Pcs,Rp32.500,Terjual 1 rb+,4.9,Jakarta Selatan,yes
228,5 Pcs - Indomie Goreng Sambal Rica-rica,Rp16.800,Terjual 1 rb+,4.9,Tangerang Selatan,yes
229,INDOMIE KALDU AYAM 65 GRAM,Rp2.700,Terjual 1 rb+,4.8,Jakarta Barat,yes
230,indomie goreng mie instan 1 dus isi 40 pcs,Rp113.000,Terjual 250+,4.8,Depok,yes
231,indomie mie goreng aceh 90gram,Rp3.000,Terjual 3 rb+,5,Bekasi,yes
232,Indomie Premium Shoyu Ramen 82 g,Rp5.500,Terjual 60+,5,Jakarta Utara,yes
233,INDOMIE AYAM SPESIAL (DUS) - 40 PCS,Rp108.000,Terjual 750+,5,Jakarta Pusat,yes
